CodeFigure,UnitType,Meaning,conventional,IA5-ASCII,ITA2,SIDefinition,Note,NoteID,Status
001,Base SI units,metre,m,m,M,,(see Note 1),19,Operational
002,Base SI units,kilogram,kg,kg,KG,,,,Operational
003,Base SI units,second,s,s,S,,,,Operational
004,Base SI units,ampere,A,A,A,,,,Operational
005,Base SI units,kelvin,K,K,K,,,,Operational
006,Base SI units,mole,mol,mol,MOL,,,,Operational
007,Base SI units,candela,cd,cd,CD,,,,Operational
021,Derived SI units with special names,radian,rad,rad,RAD,,(see Note 1),19,Operational
022,Derived SI units with special names,steradian,sr,sr,SR,,,,Operational
030,Derived SI units with special names,hertz,Hz,Hz,HZ,s-^1,(see Note 1),19,Operational
031,Derived SI units with special names,newton,N,N,N,kg m s^-2,,,Operational
032,Derived SI units with special names,pascal,Pa,Pa,PAL,kg m^-1 s^-2,,,Operational
033,Derived SI units with special names,joule,J,J,J,kg m^2 s^-2,,,Operational
034,Derived SI units with special names,watt,W,W,W,kg m^2 s^-3,,,Operational
035,Derived SI units with special names,coulomb,C,C,C,A s,,,Operational
036,Derived SI units with special names,volt,V,V,V,kg m^2 s^-3 A^-1,,,Operational
037,Derived SI units with special names,farad,F,F,F,kg^-1 m^-2 s^4 A^2,,,Operational
038,Derived SI units with special names,ohm,Ω,Ohm,OHM,kg m^2 s^-3 A^-2,,,Operational
039,Derived SI units with special names,siemens,S,S,SIE,kg^-1 m^-2 s^3 A^2,,,Operational
040,Derived SI units with special names,weber,Wb,Wb,WB,kg m^2 s^-2 A^-1,,,Operational
041,Derived SI units with special names,tesla,T,T,T,kg s^-2 A^-1,,,Operational
042,Derived SI units with special names,henry,H,H,H,kg m^2 s^-2 A^-2,,,Operational
060,Derived SI units with special names,degree Celsius,˚C,Cel,CEL,K+273.15,,,Operational
070,Derived SI units with special names,lumen,lm,lm,LM,cd sr,,,Operational
071,Derived SI units with special names,lux,lx,lx,LX,cd sr m^-2,,,Operational
080,Derived SI units with special names,becquerel,Bq,Bq,BQ,s^-1,,,Operational
081,Derived SI units with special names,gray,Gy,Gy,GY,m^2 s^-2,,,Operational
082,Derived SI units with special names,sievert,Sv,Sv,SV,m^2 s^-2,,,Operational
110,"Other, non-SI, units recognized by CGPM",degree (angle),˚,deg,DEG,,(see Note 4),10,Operational
111,"Other, non-SI, units recognized by CGPM",minute (angle),',',MNT,,(see Note 10),27,Operational
112,"Other, non-SI, units recognized by CGPM",second (angle),"""","""",SEC,,(see Note 10),27,Operational
120,"Other, non-SI, units recognized by CGPM",litre,l or L,l or L,L,,,,Operational
130,"Other, non-SI, units recognized by CGPM",minute (time),min,min,MIN,,,,Operational
131,"Other, non-SI, units recognized by CGPM",hour,h,h,HR,,,,Operational
132,"Other, non-SI, units recognized by CGPM",day,d,d,D,,,,Operational
